iter	Passed	Remaining
0	2	235
1	4	209
2	5	182
3	6	162
4	8	156
5	9	151
6	11	147
7	12	145
8	14	141
9	15	139
10	17	137
11	18	135
12	19	130
13	20	128
14	22	128
15	24	126
16	25	123
17	26	121
18	28	119
19	29	117
20	30	115
21	32	113
22	33	111
23	34	110
24	36	108
25	37	107
26	38	105
27	40	103
28	41	101
29	42	100
30	44	98
31	45	96
32	46	95
33	48	93
34	49	92
35	51	91
36	53	90
37	55	89
38	56	88
39	57	86
40	59	86
41	60	83
42	61	81
43	62	79
44	63	77
45	64	75
46	65	73
47	67	73
48	68	71
49	69	69
50	70	67
51	71	65
52	72	64
53	73	62
54	73	60
55	74	58
56	76	57
57	77	56
58	79	54
59	80	53
60	81	51
61	82	50
62	83	49
63	85	48
64	86	46
65	87	45
66	88	43
67	89	42
68	90	40
69	91	39
70	92	37
71	93	36
72	95	35
73	96	33
74	97	32
75	98	30
76	98	29
77	99	28
78	101	26
79	102	25
80	103	24
81	104	23
82	105	21
83	106	20
84	107	19
85	108	17
86	110	16
87	112	15
88	113	14
89	114	12
90	115	11
91	116	10
92	117	8
93	119	7
94	120	6
95	122	5
96	123	3
97	124	2
98	126	1
99	128	0
